property_name,rent,rent_tax_classification,station_route,station_name,station_near,floor,size_in_tsubo,address,current_status,property_id,property_site,detail_link,detail_contact,image_src,first_published_date
安田ビル 201号室,"255,000",税抜,京王線,千歳烏山,3,2階,11.65,東京都世田谷区南烏山 5丁目12番地1号,バー,24-0702-009,テンポイノベーション,https://www.i-tenpo.com/t87117,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=pqk9xVqBTFu2ig35cUVBzlWXei9Q9USfwfU4pOLtptI5QKnfBPRB5qbx8P6LQ9DGDJdHE%2B7mAiasLD4Itrf%2BP7uy1uF5vM%2B7w2gK7BezSnmzvId5QLiuPjABVrnZtWoS2uHPWaYt9BlWac%2Feougg2iuUk99UB1ag9tMQl3I6DA4%3D,2024-07-03
新栄ビルディング2号棟,"250,000",税抜,湘南新宿ライン,大宮,7,1階,4.59,埼玉県さいたま市大宮区大門町 3丁目22番地22号,,24-0605-002,テンポイノベーション,https://www.i-tenpo.com/t86697,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=tD9JO6DRTmR%2BYSv8cx2c8%2BzzSLK9EszL1AvA5CjbIpMmtave7S%2FYCWvNDj10elUda4q9B6Be49Sk2iOQoGzs9jOaZh4HruRHXkF18fLl6qSdxaloEeunv5mGCWgTlAn6K5bXupay47PCRwM9jeMHM6y85sSBeV%2BiO%2Fw9h1P6aPs%3D,2024-07-03
【詳細は非表示】,"200,000",税抜,小田急小田原線,相模大野,1,2階,21.85,神奈川県相模原市南区相模大野 【詳細は非表示】,,24-0222-006,テンポイノベーション,https://www.i-tenpo.com/t85185,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=ojLGn1VPJK95ZPPl5KNqgL90Sfx8aipNbnieFfRkjoW6e1RA9g563xVWglmLKr0NjtMkE%2B%2BAyjSnCpv6zCajYT7WzzCb9FQ76ZvGlYUCL8cAd4zQpP%2FcSGwXg14ANRDWtEr9Mn0AgcrtwnJnPYBhKQjFBiIUdLgDpBNsyyVELoc%3D,2024-07-03
住吉町1丁目店舗,"110,000",税抜,京王線,中河原,3,1階-2階,15.13,東京都府中市住吉町 1丁目38番地1号,,24-0702-015,テンポイノベーション,https://www.i-tenpo.com/t87123,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=AU6NPHQgVKCMeMRUiiB%2FknuVpuuV2R18s3fWCYywWMGlsH1Kkx697ZMgBEWJzBAXVUZ%2F869%2FcwDwljD6poBDeBCj%2BZ8SJREke6D1Y0Bs%2B%2F%2BJV7%2Bs5IMZVnqU50QbmGN7KPEYPJtMuLgHYFRaJAPzv%2BX%2BhsT1krz%2F%2FzyP3qkjqS0%3D,2024-07-03
エストグランディールCARO赤坂 1階2階,"2,000,000",税抜,千代田線,赤坂,4,1階-2階,86.43,東京都港区赤坂 6丁目13番地13号,オフィス（事務所）,24-0702-014,テンポイノベーション,https://www.i-tenpo.com/t87122,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=KaEOJIWp3ONxc0QH6nyxPUIGMLN0z78d8lFxZJzUKcaPdBT%2FGdrzEqcdg1Q8aY2DOtIQES5GFQfxJ9y8%2FYUV7SHLj%2B6aR%2BK5wgHMuzD0aac7sjRD4nazAKxOLr3vYXKfWGCTmOd9iHqg3Yye53rUeNHKjb7%2FyWGxb6dEFivdSzI%3D,2024-07-03
田熊ビル 106号室,"85,000",税抜,京王井の頭線,富士見ヶ丘,2,1階,6.98,東京都杉並区高井戸西 1丁目21番地16号,居酒屋,24-0702-013,テンポイノベーション,https://www.i-tenpo.com/t87121,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=Iv0l4zbXLTZeIymdAmERMsvXWozcCGTzyZdaJD35R3gB5MjhSfdcIZBis%2FxPYjm9mi7WgiRPofw%2FU4lRnq%2FnubZp9fjtnP09%2BoQFWbcX%2Bx3gcmHavh7Xx0Ex0Vbyhspl3UyjCTope0NC2yD2bori2avbwg2zGdp4I2bUnVLxRQ8%3D,2024-07-03
【詳細は非表示】,"136,364",税抜,横浜市営地下鉄ブルーライン,三ツ沢下町,2,1階,23.23,神奈川県横浜市神奈川区松本町 【詳細は非表示】,軽飲食,24-0702-011,テンポイノベーション,https://www.i-tenpo.com/t87119,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=%2F2h5I4hfF4ikBaCDLdwsFLjKXzDg1md0Aq50DOBl%2FBYZDFgdTCQUhjcNMmLVy0eq5c4SkDahcSkAUu32SIaXHeCist%2FRDgSvrEhRh32pWj%2Ft6OExmadWwORLvyX4MbxHU6ryiOI0HxU%2BGpUiiY31uYQIUfWFCboHLT%2BJ0%2FQ8jOc%3D,2024-07-03
赤坂6丁目貸店舗・貸事務所,"400,000",税抜,都営大江戸線,六本木,8,1階-2階,21.42,東京都港区赤坂 6丁目19番地47号,,24-0702-008,テンポイノベーション,https://www.i-tenpo.com/t87116,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=vjO1TYKkYk4oXc%2B0VKGBA6yzgEMX4N8iCJe4CVtovU7IplbqROLYNBFRykqIWmT9l2WCmqTzaFc5jViW%2B4JicXpFQ2Bro8GPvG4035qXVybkHEmKY0fyaWEBn6qDWVmHc%2FbtaHyBYYR6UhaSiZVa3VnC8NdcMRLXHsM6NTxE56U%3D,2024-07-03
クレスト浦安 102号室,"158,000",税抜,東西線,浦安,5,1階,11.34,千葉県浦安市当代島 1丁目9番地27号,,24-0702-005,テンポイノベーション,https://www.i-tenpo.com/t87113,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=Tc3Pafm7poaNzXKIyl%2BIJdnPdm0DMmAcifs3vR%2FqaoWAnBqKFd1ziTapDOjtF4ICmm34WyiCoPL6eGq0MpCwu2G3o2089tPM4YkB74BSM1ayXE7mkSHTX4oODKgLUkhKq0Y13%2Bym38efhpNREsI1u%2BBIeJPIzWRig4%2F7OtI6d1w%3D,2024-07-03
第三宝徳ビル,"864,000",税抜,山手線,新宿,6,2階,18,東京都新宿区西新宿 1丁目14番地4号,,24-0702-012,テンポイノベーション,https://www.i-tenpo.com/t87120,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=BGaSshdz5VGMKgBcOqKFybCHW6MRP1WFm8pqPmT6V6sjZWa%2FdcaeWcNZn1gurzKj%2FU8saZMRBbOUYtE%2BUnfl%2F9Ku16o%2Ft6zYSUcf2kWcUJXeSac5wmmmkeTJ3ogSCFC6GFb98vyglX00DDGskIJcMtpbHaNsseh5rCYEzI4%2FnAQ%3D,2024-07-03
