property_name,rent,rent_tax_classification,station_route,station_name,station_near,floor,size_in_tsubo,address,current_status,property_id,property_site,detail_link,detail_contact,image_src,first_published_date
大塚駅 徒歩3分 現況:居酒屋 飲食居抜き物件 【重飲食可】,"482,493",(税込),JR山手線,大塚,3,1,20.3,東京都豊島区南大塚三丁目51-10,居酒屋,126172,テンポスマート,https://www.temposmart.jp/estates/126172,https://www.temposmart.jp/estate-inquiries/create?estate_uuids=a870fc25-ddb6-4dbf-94d7-598af0bd867d,https://thumbnail.temposmart.jp/thumbnail/public/estates/126172/images/17199658044510idiczmjBYJnWyiuMqf1ttybyef.png.webp,2024-07-03
新宿駅 徒歩7分 現況:焼肉 飲食居抜き物件 【飲食可】,"1,100,000",(税込),JR山手線,新宿,7,2,33.5,東京都新宿区歌舞伎町二丁目22-5,焼肉,126166,テンポスマート,https://www.temposmart.jp/estates/126166,https://www.temposmart.jp/estate-inquiries/create?estate_uuids=5502e9f3-72d5-4fda-bd42-8d5d6ff1335b,https://thumbnail.temposmart.jp/thumbnail/public/estates/126166/images/17199628497897H4TOGDikPz46Uogjku4QqwMLrd.JPG.webp,2024-07-03
☆地域密着☆ JR武蔵野線「吉川美南駅」徒歩2分！！！,0,,JR武蔵野線,吉川美南,3,2,89.76,埼玉県吉川市美南三丁目,カフェ,126481,テンポスマート,https://www.temposmart.jp/estates/126481,https://www.temposmart.jp/estate-inquiries/create?estate_uuids=b6052dfd-faf2-433c-a7bb-e888b48f7792,https://thumbnail.temposmart.jp/thumbnail/public/estates/126481/images/17201502506935cJYXXjLOaWu0yXHGFy755rgP1y.jpg.webp,2024-07-05
三軒茶屋駅 徒歩8分 現況:飲食グルメバーガー店飲食居抜き物件 【飲食可】キャンセルのため再募集です,"346,500",(税込),東急田園都市線,三軒茶屋,8,1,11.49,東京都世田谷区下馬二丁目20-2,飲食(その他),126478,テンポスマート,https://www.temposmart.jp/estates/126478,https://www.temposmart.jp/estate-inquiries/create?estate_uuids=981d70b1-05b5-4f5e-81f8-82d6f8a42231,https://thumbnail.temposmart.jp/thumbnail/public/estates/126478/images/172014982173022pYRsZa1h3ldJAhEMMHy6rloAm.jpg.webp,2024-07-05
駅より徒歩５分☆ラーメン屋居抜き物件,"159,137",(税込),千葉都市モノレール２号線,みつわ台,5,1,17.01,千葉県千葉市若葉区みつわ台四丁目,ラーメン,126477,テンポスマート,https://www.temposmart.jp/estates/126477,https://www.temposmart.jp/estate-inquiries/create?estate_uuids=2015d80d-d09f-42e7-88a4-1c872fff8225,https://thumbnail.temposmart.jp/thumbnail/public/estates/126477/images/172014896744197obqXM8JnXZ4ypk1blX2yTvTNN.PNG.webp,2024-07-05
赤坂駅 徒歩2分 現況:寿司・割烹 飲食居抜き物件 【飲食可(重飲食不可)】,"320,150",(税込),東京メトロ千代田線,赤坂,2,B1,12.1,東京都港区赤坂三丁目6-13,寿司・割烹,126476,テンポスマート,https://www.temposmart.jp/estates/126476,https://www.temposmart.jp/estate-inquiries/create?estate_uuids=7a204792-afb6-405f-8865-ff219686b401,https://thumbnail.temposmart.jp/thumbnail/public/estates/126476/images/17201498641774kzuIygLy8q8FqUBdvjCYeLpTra.JPG.webp,2024-07-05
亀有駅 徒歩4分 商店街沿いの角地 1Fテイクアウト店居抜き物件【飲食可】,"240,185",(税込),JR常磐線(上野～取手),亀有,4,1,7.51,東京都葛飾区亀有三丁目33-1,食物販,126471,テンポスマート,https://www.temposmart.jp/estates/126471,https://www.temposmart.jp/estate-inquiries/create?estate_uuids=cd2f5c0e-d7ad-41e2-b28b-fab75e4f9717,https://thumbnail.temposmart.jp/thumbnail/public/estates/126471/images/17201472444282Od5c5Dj3Tx1na8kVzo2hvVtOUh.png.webp,2024-07-05
千住大橋駅 徒歩1分 現況:その他 その他居抜きなど物件 【飲食可】,"253,000",(税込),京成本線,千住大橋,1,1〜2,11.44,東京都足立区千住橋戸町11,焼肉,126470,テンポスマート,https://www.temposmart.jp/estates/126470,https://www.temposmart.jp/estate-inquiries/create?estate_uuids=f71dad7a-9096-4cad-af63-cb547ed2c110,https://thumbnail.temposmart.jp/thumbnail/public/estates/126470/images/17201471378159q7SbVxwsYUCzG3myM5ClXU8lzq.jpg.webp,2024-07-05
大塚駅 徒歩5分 現況:中華・エスニック 飲食居抜き物件,"370,000",(税込),JR山手線,大塚,5,1,30.15,東京都豊島区南大塚三丁目,中華・エスニック,126453,テンポスマート,https://www.temposmart.jp/estates/126453,https://www.temposmart.jp/estate-inquiries/create?estate_uuids=3297acca-3ca9-4964-a4f7-a0fa6e32ef74,https://www.temposmart.jp/assets/tenant/images/img_estate_item_noimage_medium.jpg,2024-07-05
田町駅 徒歩5分 グランパークタワー地下飲食街 造作無償! 1F居酒屋居抜き物件【飲食可】,"1,630,400",(税込),JR山手線,田町,5,B1,87.19,東京都港区芝浦三丁目4-1,居酒屋,126442,テンポスマート,https://www.temposmart.jp/estates/126442,https://www.temposmart.jp/estate-inquiries/create?estate_uuids=c194f500-0c69-4c4c-b506-000a05cd0ca0,https://thumbnail.temposmart.jp/thumbnail/public/estates/126442/images/172014277964828gZVhlqSjfrjabHprV1NTvFRll.png.webp,2024-07-05
